compiler	mpi	vendor	status	rc	seconds	tests_total	tests_failed	tests_skipped	warning_matches	build_warning_matches	combo
gfortran11	openmpi-system	OPEN_MPI	PASS	configure=0 build=0 test=0	64	259	0	1	0	0	gfortran11__openmpi-system
gfortran16	openmpi-system	OPEN_MPI	PASS	configure=0 build=0 test=0	66	259	0	1	0	0	gfortran16__openmpi-system
ifx	openmpi-system	OPEN_MPI	PASS	configure=0 build=0 test=0	66	250	0	4	0	0	ifx__openmpi-system
nvfortran	openmpi-system	OPEN_MPI	PASS	configure=0 build=0 test=0	68	244	0	4	1	0	nvfortran__openmpi-system
flang22	openmpi-system	OPEN_MPI	PASS	configure=0 build=0 test=0	90	259	0	1	0	0	flang22__openmpi-system
gfortran11	mpich	MPICH	PASS	configure=0 build=0 test=0	26	260	0	0	0	0	gfortran11__mpich
gfortran16	mpich	MPICH	PASS	configure=0 build=0 test=0	26	260	0	0	0	0	gfortran16__mpich
ifx	mpich	MPICH	PASS	configure=0 build=0 test=0	28	260	0	3	0	0	ifx__mpich
nvfortran	mpich	MPICH	PASS	configure=0 build=0 test=0	32	247	0	3	1	0	nvfortran__mpich
flang22	mpich	MPICH	PASS	configure=0 build=0 test=0	47	260	0	0	0	0	flang22__mpich
gfortran11	mpich-debug	MPICH	PASS	configure=0 build=0 test=0	27	260	0	0	0	0	gfortran11__mpich-debug
gfortran16	mpich-debug	MPICH	PASS	configure=0 build=0 test=0	27	260	0	0	0	0	gfortran16__mpich-debug
ifx	mpich-debug	MPICH	PASS	configure=0 build=0 test=0	29	260	0	3	0	0	ifx__mpich-debug
nvfortran	mpich-debug	MPICH	PASS	configure=0 build=0 test=0	32	247	0	3	1	0	nvfortran__mpich-debug
flang22	mpich-debug	MPICH	PASS	configure=0 build=0 test=0	51	260	0	0	0	0	flang22__mpich-debug
gfortran11	openmpi5-abi	MPI_ABI	PASS	configure=0 build=0 test=0	34	246	0	0	0	0	gfortran11__openmpi5-abi
gfortran16	openmpi5-abi	MPI_ABI	PASS	configure=0 build=0 test=0	36	246	0	0	0	0	gfortran16__openmpi5-abi
ifx	openmpi5-abi	MPI_ABI	PASS	configure=0 build=0 test=0	37	235	0	3	0	0	ifx__openmpi5-abi
nvfortran	openmpi5-abi	MPI_ABI	PASS	configure=0 build=0 test=0	42	235	0	3	1	0	nvfortran__openmpi5-abi
flang22	openmpi5-abi	MPI_ABI	PASS	configure=0 build=0 test=0	57	246	0	0	0	0	flang22__openmpi5-abi
gfortran11	intel-mpi	INTEL_MPI	PASS	configure=0 build=0 test=0	78	256	0	0	0	0	gfortran11__intel-mpi
gfortran16	intel-mpi	INTEL_MPI	PASS	configure=0 build=0 test=0	79	256	0	0	0	0	gfortran16__intel-mpi
ifx	intel-mpi	INTEL_MPI	PASS	configure=0 build=0 test=0	82	256	0	3	0	0	ifx__intel-mpi
nvfortran	intel-mpi	INTEL_MPI	PASS	configure=0 build=0 test=0	83	245	0	3	1	0	nvfortran__intel-mpi
flang22	intel-mpi	INTEL_MPI	PASS	configure=0 build=0 test=0	102	256	0	0	0	0	flang22__intel-mpi
gfortran11	hpcx-12.9-2.20	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	396	259	0	1	0	0	gfortran11__hpcx-12.9-2.20
gfortran16	hpcx-12.9-2.20	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	399	259	0	1	0	0	gfortran16__hpcx-12.9-2.20
ifx	hpcx-12.9-2.20	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	386	250	0	4	0	0	ifx__hpcx-12.9-2.20
nvfortran	hpcx-12.9-2.20	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	390	244	0	4	1	0	nvfortran__hpcx-12.9-2.20
flang22	hpcx-12.9-2.20	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	422	259	0	1	0	0	flang22__hpcx-12.9-2.20
gfortran11	hpcx-12.9-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	393	259	0	1	0	0	gfortran11__hpcx-12.9-2.25.1
gfortran16	hpcx-12.9-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	395	259	0	1	0	0	gfortran16__hpcx-12.9-2.25.1
ifx	hpcx-12.9-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	398	250	0	4	0	0	ifx__hpcx-12.9-2.25.1
nvfortran	hpcx-12.9-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	382	244	0	3	1	0	nvfortran__hpcx-12.9-2.25.1
flang22	hpcx-12.9-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	417	259	0	1	0	0	flang22__hpcx-12.9-2.25.1
gfortran11	hpcx-13.1-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	391	259	0	1	0	0	gfortran11__hpcx-13.1-2.25.1
gfortran16	hpcx-13.1-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	393	259	0	1	0	0	gfortran16__hpcx-13.1-2.25.1
ifx	hpcx-13.1-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	390	250	0	4	0	0	ifx__hpcx-13.1-2.25.1
nvfortran	hpcx-13.1-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	387	244	0	3	1	0	nvfortran__hpcx-13.1-2.25.1
flang22	hpcx-13.1-2.25.1	NVIDIA_HPCX	PASS	configure=0 build=0 test=0	411	259	0	1	0	0	flang22__hpcx-13.1-2.25.1
